event_type,time
completion,61.0
completion,61.0
completion,61.0
completion,61.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
arrival,62.0
completion,62.0
completion,62.0
completion,62.0
completion,62.0
completion,62.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
arrival,63.0
completion,63.0
completion,63.0
completion,63.0
completion,63.0
completion,63.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
arrival,64.0
completion,64.0
completion,64.0
completion,64.0
completion,64.0
completion,64.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
arrival,65.0
completion,65.0
completion,65.0
completion,65.0
completion,65.0
completion,65.0
failure,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
arrival,66.0
completion,66.0
completion,66.0
completion,66.0
completion,66.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
arrival,67.0
completion,67.0
completion,67.0
completion,67.0
recovery,68.0
failure,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
arrival,68.0
completion,68.0
completion,68.0
completion,68.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
arrival,69.0
completion,69.0
completion,69.0
completion,69.0
completion,69.0
recovery,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
arrival,70.0
completion,70.0
completion,70.0
completion,70.0
completion,70.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
arrival,71.0
completion,71.0
completion,71.0
completion,71.0
completion,71.0
completion,71.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
arrival,72.0
completion,72.0
completion,72.0
completion,72.0
completion,72.0
completion,72.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
arrival,73.0
completion,73.0
completion,73.0
completion,73.0
completion,73.0
completion,73.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
arrival,74.0
completion,74.0
completion,74.0
completion,74.0
completion,74.0
completion,74.0
arrival,75.0
arrival,75.0
arrival,75.0
arrival,75.0
arrival,75.0
completion,75.0
completion,75.0
completion,75.0
completion,75.0
completion,75.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
arrival,76.0
completion,76.0
completion,76.0
completion,76.0
completion,76.0
completion,76.0
failure,77.0
arrival,77.0
